,support,thresh_prior,thresh_tuned,auc_prior,auc_tuned,auc_delta,precision_prior,precision_tuned,precision_delta,recall_prior,recall_tuned,recall_delta,f1_prior,f1_tuned,f1_delta
Emphysema,1093,0.5,0.715,0.9025,0.9025,0.0,0.3456,0.4278,0.0822,0.591,0.4419,-0.1491,0.4362,0.4347,-0.0015
Hernia,86,0.5,0.519,0.8935,0.8935,0.0,0.6471,0.6562,0.0091,0.2558,0.2442,-0.0116,0.3667,0.3559,-0.0108
Cardiomegaly,1069,0.5,0.69,0.8718,0.8718,0.0,0.3468,0.4264,0.0796,0.4088,0.2844,-0.1244,0.3753,0.3412,-0.0341
Pneumothorax,2665,0.5,0.388,0.8496,0.8496,0.0,0.4367,0.3901,-0.0466,0.4687,0.5786,0.1099,0.4521,0.466,0.0139
Edema,925,0.5,0.496,0.8406,0.8406,0.0,0.1838,0.1804,-0.0034,0.3514,0.3514,0.0,0.2414,0.2384,-0.003
Effusion,4658,0.5,0.502,0.8161,0.8161,0.0,0.4279,0.4286,0.0007,0.641,0.6383,-0.0027,0.5132,0.5128,-0.0004
Fibrosis,435,0.5,0.473,0.7997,0.7997,0.0,0.2067,0.1818,-0.0249,0.0851,0.092,0.0069,0.1205,0.1221,0.0016
Mass,1748,0.5,0.649,0.7972,0.7972,0.0,0.2435,0.3264,0.0829,0.5149,0.385,-0.1299,0.3306,0.3533,0.0227
Pleural_Thickening,1143,0.5,0.48,0.7579,0.7579,0.0,0.1582,0.1564,-0.0018,0.2248,0.252,0.0272,0.1857,0.193,0.0073
Atelectasis,3279,0.5,0.404,0.7533,0.7533,0.0,0.3287,0.2897,-0.039,0.3867,0.5276,0.1409,0.3553,0.374,0.0187
Nodule,1623,0.5,0.487,0.7392,0.7392,0.0,0.2531,0.242,-0.0111,0.2502,0.2569,0.0067,0.2516,0.2493,-0.0023
Consolidation,1815,0.5,0.432,0.7336,0.7336,0.0,0.1956,0.1824,-0.0132,0.1972,0.3218,0.1246,0.1964,0.2329,0.0365
Pneumonia,555,0.5,0.179,0.7113,0.7113,0.0,0.1538,0.0556,-0.0982,0.0144,0.3712,0.3568,0.0264,0.0968,0.0704
Infiltration,6112,0.5,0.35,0.6922,0.6922,0.0,0.4231,0.3519,-0.0712,0.4455,0.6893,0.2438,0.434,0.4659,0.0319
